English	zh_CN	zh_TW	依据	附注
backpressure	背压	背壓	MS	背压→背壓(backpressure)
backup	备份	備份	字符	
backup block	备份块	備份區塊	MS	备份块→備份區塊(backup block)
base backup	基础备份	基準備份	MS	基础备份→基準備份(base backup)
base directory	基础目录	基底目錄	MS	
base type	基础类型	基底型別	MS	基础类型→基底型別(base type)
Basic Statistics	基础统计信息	基礎統計資訊	MS	统计信息→統計資訊(statistics information = 統計資訊)
batch	批次	批次	MS	批次→批次(batch)
before-images	前映像	前映像	MS	
binary coercible	二进制可强制转换	二進位可強制轉換	MS	二进制→二進位(十六進位/十進位 同系列,不留 制);强制转换→強制轉換(coercion)
binlog coordinates	二进制日志坐标	二進位日誌座標	官方推定	二进制→二進位(十六進位/十進位 同系列,不留 制);坐标→座標(coordinate)
bit	位	位元	MS	bit:bit = 位元;32 位 → 32 位元
Bitmap Scans	位图扫描	點陣圖掃描	MS	位图→點陣圖(bitmap;社群亦見 位元圖)
Bitmap-Scan	位图扫描	點陣圖掃描	MS	位图→點陣圖(bitmap;社群亦見 位元圖)
block number	块号	區塊編號	MS	块号→區塊編號(block number)
blocks	块	區塊	官方	blocks:block = 區塊;模組(module)由 OpenCC 模組 處理
Bloom Classes	Bloom 操作符类	Bloom 運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
Bootstrap	引导	引導	字符	
bracket expression	方括号表达式	方括號表示式	MS	方括号表达式→方括號表示式(regex bracket expression)
branching factor	分支因子	分支因子	字符	
buckets	桶	桶	字符	
Buffer Cache	缓冲区缓存	緩衝區快取	MS	缓冲区→緩衝區(buffer);缓存→快取(cache = 快取)
buffer descriptors	缓冲区描述符	緩衝區描述符	MS	缓冲区→緩衝區(buffer);描述符→描述符(descriptor)
buffer descriptors layer	缓冲区描述符层	緩衝區描述符層	MS	缓冲区→緩衝區(buffer);描述符→描述符(descriptor)
Buffer Manager	缓冲区管理器	緩衝區管理員	MS	缓冲区→緩衝區(buffer);管理器→管理員(manager = 管理員)
buffer pool	缓冲池	緩衝集區	MS	缓冲池→緩衝集區(buffer pool;MS SQL zh-TW 用語)
buffer table	缓冲区映射表	緩衝區對應表	MS	缓冲区→緩衝區(buffer);映射表→對應表(buffer table(hash 查找表))
buffer tag	缓冲区标签	緩衝區標籤	MS	缓冲区→緩衝區(buffer);标签→標籤(tag)
buffer_tag	缓冲区标签	緩衝區標籤	MS	缓冲区→緩衝區(buffer);标签→標籤(tag)
built-in	内置	內建	MS	内置→內建(built-in = 內建)
Bulk Eviction	批量逐出	大量逐出	MS	批量→大量(bulk = 大量)
Cache Hits	缓存命中	快取命中	MS	缓存→快取(cache = 快取)
Cache Misses	缓存未命中	快取遺失	MS	缓存→快取(cache = 快取);未命中→遺失(cache miss = 快取遺失)
Cache Warming	缓存预热	快取預熱	MS	缓存→快取(cache = 快取);预热→預熱(cache warming = 快取預熱)
Caching Rows (Memoization)	行缓存（记忆化）	資料列快取（記憶化）	MS	行缓存→資料列快取(caching rows);记忆化→記憶化(memoization)
call handler	调用处理器	呼叫處理器	MS	调用处理器→呼叫處理器(call handler)
candidate buffer descriptor	候选缓冲区描述符	候選緩衝區描述符	MS	缓冲区→緩衝區(buffer);描述符→描述符(descriptor)
CAP theorem	CAP 定理	CAP 定理	字符	
Cartesian Product	笛卡尔积	笛卡兒積	MS	笛卡尔积→笛卡兒積(Cartesian product)
cast	类型转换	型別轉換	MS	类型转换→型別轉換(cast)
catch-up	追赶	追趕	字符	
causality	因果关系	因果關係	字符	
CC	并发控制	並行控制	官方推定	并发→並行(官方 pg_dump:parallel dumps → 並行備份;concurrency/parallel 同作 並行)
change data capture	变更数据捕获	變更資料擷取	官方推定	变更→變更(官方:變更程序語言的定義);捕获→擷取(capture(CDC))
Character-entry escapes	字符输入转义	字元輸入逸出	MS	转义→逸出(escape = 逸出)
checkpoint	检查点	檢查點	官方	检查点→檢查點(pg_ctl: 日誌檢查點)
checkpoint record	检查点记录	檢查點記錄	MS	检查点记录→檢查點記錄(checkpoint record)
checkpointer	检查点进程	檢查點行程	官方推定	检查点进程→檢查點行程(checkpointer)
cid	命令标识符	命令識別字	裁定	标识符→識別字(identifier;官方亦見 識別碼/識別名稱)
Class-shorthand escapes	字符类简写转义	字元類別簡寫逸出	MS	字符类→字元類別(character class(regex));转义→逸出(escape = 逸出)
cleanup stage	清理阶段	清理階段	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義);阶段→階段(stage)
clock-sweep	时钟扫描	時鐘掃描	字符	
CLOG	提交日志	提交日誌	官方推定	提交日志→提交日誌(CLOG)
cold standby	冷备	冷備援	裁定	冷备→冷備援(與 熱備援 同系列)
cold-standby	冷备	冷備援	裁定	冷备→冷備援(與 熱備援 同系列)
collation	排序规则	定序	官方	排序规则→定序(collation = 定序;禁 s2t 偽影 排序規則)
Column-Level Properties	列级属性	欄位層級屬性	官方推定	列级属性→欄位層級屬性(column-level;column = 欄/欄位,禁 MS 式 資料行)
combine function	组合函数	合併函式	MS	组合函数→合併函式(combine function)
command id	命令标识符	命令識別字	裁定	标识符→識別字(identifier;官方亦見 識別碼/識別名稱)
Commit Log	提交日志	提交日誌	官方推定	提交日志→提交日誌(CLOG)
compaction	压实	壓實	字符	
complexity	复杂度	複雜度	字符	
composite type	复合类型	複合型別	官方	类型→型別(官方 zh_TW: 型別)
Concurrent Vacuum	并发清理	並行清理	官方推定	并发→並行(官方 pg_dump:parallel dumps → 並行備份;concurrency/parallel 同作 並行);清理→清理(pg_dump --clean 語境;VACUUM 說明義)
connection string	连接字符串	連接字串	官方	连接字符串→連接字串(libpq: connection string → 連接字串;動詞/一般連線語境為 連線)
Consensus	共识	共識	字符	
consistency	一致性	一致性	字符	
Consistent Prefix Reads	一致前缀读	一致字首讀取	MS	一致前缀读→一致字首讀取(prefix = 字首)
constraint	约束	條件約束	MS	约束→條件約束(constraint = 條件約束;官方亦見 限制,待上游對齊)
constraint escape	约束转义	條件約束逸出	MS	约束→條件約束(constraint = 條件約束;官方亦見 限制,待上游對齊);转义→逸出(escape = 逸出)
Constraint exclusion	约束排除	條件約束排除	MS	约束→條件約束(constraint = 條件約束;官方亦見 限制,待上游對齊)
constraint trigger	约束触发器	條件約束觸發器	官方推定	约束→條件約束(constraint = 條件約束;官方亦見 限制,待上游對齊);触发器→觸發器(psql: 觸發器)
content_lock	内容锁	內容鎖定	官方推定	锁→鎖定(lock = 鎖定;鎖存器/自旋鎖/鎖定協定 由長詞規則先處理)
continuous archiving	持续归档	持續封存	官方推定	归档→封存(pg_dump: archive file → 封存檔案)
correctness	正确性	正確性	字符	
Correlation	相关性	相關性	字符	
Cost	代价	成本	MS	代价→成本(cost = 成本)
Cost Estimation	代价估算	成本估算	MS	代价→成本(cost = 成本)
cost-based	基于代价的	基於成本的	MS	基于代价的→基於成本的(cost-based)
crash recovery	崩溃恢复	崩潰復原	裁定	崩溃恢复→崩潰復原(MS crash = 當機,不取)
current row	当前行	目前資料列	官方推定	当前行→目前資料列(current row)
cursor	游标	游標	官方	游标→游標(官方 zh_TW: 游標;OpenCC 直轉會誤作 遊標)
data area	数据区域	資料區域	官方推定	
data change trigger	数据更改触发器	資料變更觸發器	官方推定	更改→變更(change = 變更);触发器→觸發器(psql: 觸發器)
Data Corruption	数据损坏	資料損毀	官方推定	损坏→損毀(corruption = 損毀)
data directory	数据目录	資料目錄	官方	
database	数据库	資料庫	官方	
database cluster	数据库集簇	資料庫叢集	官方	数据库集簇→資料庫叢集(官方 zh_TW 用 叢集(cluster);CLUSTER 命令動作為 叢集化)
database objects	数据库对象	資料庫物件	官方	对象→物件(psql: 擴充模組中的物件)
Databases	数据库	資料庫	官方	
dead tuple	死元组	死元組	官方推定	dead tuple:官方 元組 系列;失效元組 亦可
deadlock	死锁	死結	MS	死锁→死結(deadlock = 死結;禁 s2t 偽影 死鎖)
Deduplication	去重	去重	裁定	去重→去重(MS 作 重複資料刪除,不取)
default B-tree operator class	默认 B-树操作符类	預設 B-樹運算子類別	官方	默认→預設(pg_ctl: (default) → (預設));操作符类→運算子類別(operator class;class = 類別)
defragmentation	碎片整理	碎片整理	MS	
deparsing	逆解析	反解析	裁定	逆解析→反解析(deparse)
dependency graph	依赖图	相依圖	MS	依赖图→相依圖(dependency = 相依)
derived data	衍生数据	衍生資料	官方推定	
deserialization function	反序列化函数	反序列化函式	官方推定	
Direct I/O	直接 I/O	直接 I/O	字符	
dirty bit	脏位	髒位元	MS	脏位→髒位元(dirty bit)
dirty page	脏页	髒頁	裁定	脏页→髒頁(MS 作 中途分頁,不取)
Dirty Reads	脏读	髒讀	裁定	脏读→髒讀(MS 作 中途讀取,不取)
discrete percentile	离散百分位数	離散百分位數	MS	
Distinct Values	非重复值	相異值	MS	非重复值→相異值(distinct = 相異)
DTrace probe	DTrace 探针	DTrace 探針	字符	
DTrace probes	DTrace 探针	DTrace 探針	字符	
durability	持久性	永續性	字符	
eager mode	急切模式	積極模式	MS	急切→積極(eager = 積極)
elasticity	弹性	彈性	字符	
embedded options	嵌入选项	內嵌選項	MS	嵌入→內嵌(embed = 內嵌)
end-to-end	端到端	端對端	MS	端到端→端對端(end-to-end = 端對端)
end-to-end argument	端到端原则	端對端原則	MS	端到端→端對端(end-to-end = 端對端)
enum type	枚举类型	列舉型別	官方推定	类型→型別(官方 zh_TW: 型別)
equi-join	等值连接	等值聯結	MS	等值连接→等值聯結(equi-join)
equivalence class	等价类	等價類別	MS	等价类→等價類別(equivalence class)
Escapes	转义	逸出	MS	转义→逸出(escape = 逸出)
ETL	提取-转换-加载	擷取-轉換-載入	MS	提取-转换-加载→擷取-轉換-載入(ETL;extract = 擷取)
event triggers	事件触发器	事件觸發器	官方	触发器→觸發器(psql: 觸發器)
eventual consistency	最终一致性	最終一致性	字符	
evolvability	可演化性	可演化性	字符	
exactly-once semantics	恰好一次语义	恰好一次語意	MS	语义→語意(semantics = 語意)
Example	示例	範例	MS	示例→範例(example = 範例)
Examples	示例	範例	MS	示例→範例(example = 範例)
Exclusion Constraints	排他约束	排他條件約束	MS	排他→排他(exclusion);约束→條件約束(constraint = 條件約束;官方亦見 限制,待上游對齊)
Exclusive Modes	独占模式	獨佔模式	MS	独占→獨佔(exclusive = 獨佔)
Executor	执行器	執行器	字符	
Expression Statistics	表达式统计信息	運算式統計資訊	MS	表达式→運算式(expression = 運算式;regex 語境用 表示式);统计信息→統計資訊(statistics information = 統計資訊)
Extended Expression Statistics	扩展表达式统计信息	延伸運算式統計資訊	MS	扩展表达式→延伸運算式(extended = 延伸(非 extension 物件));统计信息→統計資訊(statistics information = 統計資訊)
Extended Query Protocol	扩展查询协议	延伸查詢協定	MS	扩展查询协议→延伸查詢協定(extended query protocol = 延伸查詢協定)
extension	扩展	擴充模組	官方	扩展→擴充模組(psql: installed extensions → 已安裝擴充模組;extended(延伸)義另譯)
External Sorting	外部排序	外部排序	字符	
failover	故障切换	容錯移轉	MS	故障切换→容錯移轉(failover = 容錯移轉)
failure	失败	失敗	官方	
false negative	漏报	漏報	字符	
false positive	误报	誤報	字符	
false-negative	漏报	漏報	字符	
false-positive	误报	誤報	字符	
fan-out	扇出	扇出	字符	
Fast Shutdown	快速关闭	快速停止	官方推定	
Fault Tolerance	容错性	容錯性	字符	
FDW	外部数据包装器	外部資料包裝器	官方推定	外部数据包装器→外部資料包裝器(FDW 縮寫保留)
field selection	字段选择	欄位選擇	官方推定	字段→欄位(field = 欄位,與 column 同詞)
Files and Forks	文件和分支	檔案和分支	官方推定	文件→檔案(官方 zh_TW: 檔案)
final function	最终函数	最終函式	MS	最终函数→最終函式(final function)
first-committer-win	以先提交者为准	以先提交者為準	字符	
first-updater-win	以先更新者为准	以先更新者為準	字符	
flow control	流量控制	流量控制	字符	
flush	刷盘	排清	MS	刷盘→排清(flush = 排清)
followers	追随者	追隨者	MS	追随者→追隨者(follower)
foreign data	外部数据	外部資料	官方	
Foreign Data Wrapper	外部数据包装器	外部資料包裝器	官方推定	外部数据包装器→外部資料包裝器(FDW 縮寫保留)
foreign key	外键	外來鍵	裁定	外键→外來鍵(MS 作 外部索引鍵;官方 psql 見 外鍵;取通行短式)
foreign server	外部服务器	外部伺服器	官方	
Foreign Table	外部表	外部資料表	官方	
fork	分支	分支	字符	
fork number	关系分支编号	關聯分支編號	官方	2026-09-19 會審同步 relation=關聯
format code	格式代码	格式代碼	MS	格式代码→格式代碼(format code;code(編號)= 代碼,原始碼才是 程式碼)
format specifiers	格式说明符	格式規範	MS	格式说明符→格式規範(format specifier)
free space	空闲空间	可用空間	MS	空闲空间→可用空間(free space = 可用空間)
free space map	空闲空间映射	可用空間對應	MS	空闲空间映射→可用空間對應(FSM;free = 可用)
Frozen txid	冻结事务 ID	凍結交易 ID	官方推定	事务→交易(官方 zh_TW: commit the current transaction → 提交目前的交易)
FSM	空闲空间映射	可用空間對應	MS	空闲空间映射→可用空間對應(FSM;free = 可用)
FULL VACUUM	完全清理	完全清理	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
Full Vacuuming	完全清理	完全清理	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
full-page image	整页镜像	整頁映像	MS	整页镜像→整頁映像(full-page image;image = 映像)
full-page write	整页写入	整頁寫入	字符	
Full-Text Search	全文检索	全文檢索	字符	
function calls	函数调用	函式呼叫	官方推定	调用→呼叫(call = 呼叫)
functional notation	函数记法	函式記法	官方推定	
functionally dependent	函数依赖	函式相依	MS	函数依赖→函式相依(functionally dependent)
generated column	生成列	產生欄位	MS	生成列→產生欄位(generated column)
gossip protocol	流言协议	流言協定	MS	协议→協定(protocol = 協定)
grouping sets	分组集	分組集	MS	分组→分組(GROUP BY = 分組)
handshaking	握手	交握	MS	握手→交握(handshake = 交握)
hardware faults	硬件故障	硬體故障	MS	
Hash Join	哈希连接	雜湊聯結	MS	哈希连接→雜湊聯結(hash join)
hash slots	哈希槽	雜湊槽	MS	哈希→雜湊(hash = 雜湊)
head-of-line blocking	队头阻塞	佇列頭端阻塞	MS	队头阻塞→佇列頭端阻塞(head-of-line blocking)
header data	首部数据	標頭資料	MS	首部数据→標頭資料(header data)
heap	堆	堆積	MS	heap:heap = 堆積
heap-only tuple	堆内元组	堆內元組	官方推定	元组→元組(官方 zh_TW 保留 元組(tuple))
Heap Scan	堆扫描	堆掃描	字符	
heap table	堆表	堆積資料表	MS	堆表→堆積資料表(heap table)
Heap Truncation	堆截断	堆截斷	MS	截断→截斷(truncation)
heap tuples	堆元组	堆元組	官方推定	元组→元組(官方 zh_TW 保留 元組(tuple))
Heap Vacuuming	堆清理	堆清理	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
heap-only tuple updates	堆内元组更新	堆內元組更新	官方推定	元组→元組(官方 zh_TW 保留 元組(tuple))
Heavyweight Locks	重量级锁	重量級鎖定	MS	重量级锁→重量級鎖定(heavyweight locks)
heuristic decisions	启发式决策	啟發式決策	字符	
hierarchical model	层次模型	階層式模型	MS	hierarchical model:hierarchical = 階層式
hint	提示	提示	字符	
hint bits	提示位	提示位元	MS	提示位→提示位元(hint bits)
Histogram	直方图	直方圖	MS	
histogram_bounds	直方图边界值	直方圖邊界值	MS	
hole	空洞	空洞	MS	空洞→空洞(hole)
HOT	堆内元组	堆內元組	官方推定	元组→元組(官方 zh_TW 保留 元組(tuple))
hot standby	热备	熱備援	官方	热备→熱備援(libpq: hot standby mode → 熱備援模式)
hot-standby	热备	熱備援	官方	热备→熱備援(libpq: hot standby mode → 熱備援模式)
hybrid hash join	混合哈希连接	混合雜湊聯結	MS	哈希连接→雜湊聯結(hash join)
hypothetical-set aggregate	假想集聚合	假設集聚合	MS	假想集→假設集(hypothetical-set)
I/O conversion cast	基于 I/O 的类型转换	基於 I/O 的型別轉換	MS	类型转换→型別轉換(cast)
Idempotence	幂等性	等冪性	MS	幂等→等冪(idempotent = 等冪)
idempotent	幂等	等冪	MS	幂等→等冪(idempotent = 等冪)
identity column	标识列	識別欄位	MS	标识列→識別欄位(identity column)
Immediate Shutdown	立即关闭	立即停止	官方推定	
implicit cast	隐式类型转换	隱含型別轉換	MS	隐式→隱含(implicit = 隱含);类型转换→型別轉換(cast)
implicit transaction block	隐式事务块	隱含交易區塊	MS	隐式→隱含(implicit = 隱含);事务块→交易區塊(transaction block)
Inclusion Classes	Inclusion 操作符类	Inclusion 運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
incremental backup	增量备份	增量備份	裁定	增量备份→增量備份(MS 作 累加,不取)
Incremental Sorting	增量排序	增量排序	字符	
index	索引	索引	官方	
Index Access Methods	索引访问方法	索引存取方法	官方推定	访问方法→存取方法(access method = 存取方法)
index column	索引列	索引欄位	官方推定	索引列→索引欄位(index column)
index correlation	索引相关性	索引相關性	官方推定	
index filter predicate	索引过滤谓词	索引篩選述詞	官方推定	过滤→篩選(filter = 篩選);谓词→述詞(predicate = 述詞)
Index Scans	索引扫描	索引掃描	官方推定	
Index Vacuuming	索引清理	索引清理	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
Index-Level Properties	索引级属性	索引層級屬性	裁定	索引级属性→索引層級屬性(index-level)
index-only scan	仅索引扫描	僅索引掃描	官方推定	
indexed nested loop join	索引嵌套循环连接	索引巢狀迴圈聯結	官方推定	嵌套循环连接→巢狀迴圈聯結(nested loop join)
inline handler	内联处理器	內嵌處理器	MS	内联处理器→內嵌處理器(inline handler)
intermediate table	中间表	中繼資料表	MS	中间表→中繼資料表(intermediate = 中繼)
invariants	不变式	不變式	字符	
inverse transition function	逆向状态转移函数	逆向狀態轉換函式	官方推定	逆向→逆向(inverse);状态转移→狀態轉換(state transition)
invisible	不可见	不可見	字符	
io_in_progress	I/O 进行中标志位	I/O 進行中旗標	MS	标志位→旗標(flag bit = 旗標)
io_in_progress_lock	I/O 进行中锁	I/O 進行中鎖定	官方推定	锁→鎖定(lock = 鎖定;鎖存器/自旋鎖/鎖定協定 由長詞規則先處理)
isolation	隔离性	隔離性	字符	
item pointer	项指针	項目指標	MS	项指针→項目指標(item = 項目;pointer = 指標)
JOIN	连接	JOIN 聯結	官方推定	JOIN:SQL 關鍵字 JOIN 原樣;說明義為 聯結
join condition	连接条件	聯結條件	MS	连接条件→聯結條件(join condition;connection 由長詞規則先處理)
join method	连接方法	聯結方法	MS	连接方法→聯結方法(join method)
Join Types and Methods	连接类型和方式	聯結類型和方式	MS	连接类型→聯結類型(join type)
jsonb_ops Operator Class	jsonb_ops 操作符类	jsonb_ops 運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
jsonb_path_ops Operator Class	jsonb_path_ops 操作符类	jsonb_path_ops 運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
Julian Date	儒略日	儒略日	MS	儒略日→儒略日(Julian date)
LABEL	备份标签	備份標籤	MS	标签→標籤(tag)
latch	闩锁	閂鎖器	MS	闩锁→閂鎖器(zh_CN 兩種寫法統一為 閂鎖器)
latency	延迟	延遲	MS	延迟→延遲(latency)
Latest Checkpoint Location	最新检查点位置	最新檢查點位置	官方推定	检查点→檢查點(pg_ctl: 日誌檢查點)
lazy mode	惰性模式	惰性模式	字符	
lazy vacuum	惰性清理	惰性清理	官方推定	清理→清理(pg_dump --clean 語境;VACUUM 說明義)
leader	领导者	領導者	MS	领导者→領導者(leader)
leader-based replication	基于领导者的复制	基於領導者的複寫	MS	领导者→領導者(leader);复制→複寫(replication = 複寫;copy(複製)另譯;官方亦見 複製)
leaderless	无主	無主	MS	无主→無主(leaderless)
Lightweight Locks	轻量级锁	輕量級鎖定	MS	轻量级锁→輕量級鎖定(lightweight locks)
line pointer	行指针	資料列指標	裁定	行指针→資料列指標(line pointer(與 row 同指))
linearizability	线性一致性	線性一致性	MS	线性一致性→線性一致性(linearizability)
load	负载	負載	字符	
Local Cache	本地缓存	本機快取	官方推定	本地缓存→本機快取(local cache)
locale	区域设置	區域	官方	区域设置→區域(psql: Locale Provider → 區域提供者;MS 作 地區設定)
Lock Design	锁设计	鎖定設計	官方推定	锁→鎖定(lock = 鎖定;鎖存器/自旋鎖/鎖定協定 由長詞規則先處理)
locking clauses	锁定子句	鎖定子句	MS	锁定→鎖定(identity 守衛:長於 鎖,避免 鎖定子句 → 鎖定定子句)
log compaction	日志压实	日誌壓實	裁定	日志压实→日誌壓實(compaction;避免與 壓縮(compression)相撞)
Log Sequence Number	日志序列号	日誌序列號	MS	日志序列号→日誌序列號(LSN)
log-structured	日志结构	日誌結構	官方推定	
logical decoding	逻辑解码	邏輯解碼	字符	
logical replication	逻辑复制	邏輯複寫	MS	复制→複寫(replication = 複寫;copy(複製)另譯;官方亦見 複製)
Logical Structure	逻辑结构	邏輯結構	字符	
loose coupling	松耦合	鬆耦合	MS	松耦合→鬆耦合(loose coupling)
Lost Update	丢失更新	遺失更新	MS	丢失更新→遺失更新(lost update)
LSN	日志序列号	日誌序列號	MS	日志序列号→日誌序列號(LSN)
LWW	最后写入胜出	最後寫入勝出	字符	
main data	主数据	主資料	官方	
maintainability	可维护性	可維護性	字符	
marshalling	编组	封送處理	MS	编组→封送處理(marshalling)
master	主库	主伺服器	裁定	主库→主伺服器(與 待命伺服器 對稱;MS 為 主要)
master/slave	主库/从库	主伺服器/從屬伺服器	裁定	
materialization	物化	物化	裁定	物化→物化(保留;MS/Oracle 作 具體化,PG 語境少見)
Materialize	物化	物化	裁定	物化→物化(保留;MS/Oracle 作 具體化,PG 語境少見)
Materialized Merge Join	物化归并连接	物化合併聯結	MS	物化→物化(保留;MS/Oracle 作 具體化,PG 語境少見);归并连接→合併聯結(merge join)
materialized nested loop join	物化嵌套循环连接	物化巢狀迴圈聯結	MS	物化→物化(保留;MS/Oracle 作 具體化,PG 語境少見);嵌套循环连接→巢狀迴圈聯結(nested loop join)
Materializing conflicts	物化冲突	物化衝突	裁定	物化→物化(保留;MS/Oracle 作 具體化,PG 語境少見)
MCV	高频值	最常見值	裁定	高频值→最常見值(MCV(most common value)直譯)
median	中位数	中位數	MS	中位数→中位數(median)
Merge Join	归并连接	合併聯結	MS	归并连接→合併聯結(merge join)
Merging Sorted Sets	归并有序集合	合併有序集合	MS	归并→合併(merge = 合併)
migration	迁移	移轉	MS	迁移→移轉(migration = 移轉)
Minmax Classes	Minmax 操作符类	Minmax 運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
Minmax-Multi Classes	Minmax-Multi 操作符类	Minmax-Multi 運算子類別	MS	操作符类→運算子類別(operator class;class = 類別)
Miscellaneous Locks	杂项锁	雜項鎖定	官方推定	锁→鎖定(lock = 鎖定;鎖存器/自旋鎖/鎖定協定 由長詞規則先處理)
monotonic reads	单调读	單調讀取	MS	单调读→單調讀取(monotonic reads)
Most Common Value	高频值	最常見值	裁定	高频值→最常見值(MCV(most common value)直譯)
Most Common Values	高频值	最常見值	裁定	高频值→最常見值(MCV(most common value)直譯)
most_common_freqs	高频值频率	最常見值頻率	裁定	高频值→最常見值(MCV(most common value)直譯)
most_common_vals	高频值	最常見值	裁定	高频值→最常見值(MCV(most common value)直譯)
moving-aggregate mode	移动聚合模式	移動聚合模式	MS	移动聚合→移動聚合(moving-aggregate)
multi-table index cluster tables	多表索引簇表	多資料表索引叢集資料表	MS	多表索引簇表→多資料表索引叢集資料表(multi-table index cluster tables)
Multi-version Concurrency Control	多版本并发控制	多版本並行控制	官方推定	并发→並行(官方 pg_dump:parallel dumps → 並行備份;concurrency/parallel 同作 並行)
Multitransactions	多事务	多重交易	MS	多事务→多重交易(multi- 前綴 TW 作 多重)
Multivariate Statistics	多元统计信息	多元統計資訊	MS	统计信息→統計資訊(statistics information = 統計資訊)
multiversion concurrency control	多版本并发控制	多版本並行控制	官方推定	并发→並行(官方 pg_dump:parallel dumps → 並行備份;concurrency/parallel 同作 並行)
MVCC	多版本并发控制	多版本並行控制	官方推定	并发→並行(官方 pg_dump:parallel dumps → 並行備份;concurrency/parallel 同作 並行)
Nearest Neighbor Search	最近邻搜索	最近鄰居搜尋	MS	最近邻→最近鄰居(nearest neighbor)
Nested Loop	嵌套循环	巢狀迴圈	MS	嵌套循环→巢狀迴圈(nested loop)
Nested Loop Join	嵌套循环连接	巢狀迴圈聯結	MS	嵌套循环连接→巢狀迴圈聯結(nested loop join)
network partitions	网络分区	網路分割	MS	网络分区→網路分割(network partition)
No-Wait Locks	无等待加锁	無等待鎖定	官方推定	No-Wait Locks:no-wait locking
Non-Atomic Writes	非原子写	非原子寫	字符	
Non-Equi-joins	非等值连接	非等值聯結	MS	等值连接→等值聯結(equi-join)
Non-greedy	非贪婪	非貪婪	MS	非贪婪→非貪婪(non-greedy)
non-key	非键	非鍵	裁定	非键→非鍵(non-key(including columns))
Non-Object Locks	非对象锁	非物件鎖定	官方推定	对象→物件(psql: 擴充模組中的物件);锁→鎖定(lock = 鎖定;鎖存器/自旋鎖/鎖定協定 由長詞規則先處理)
Non-Parallelizable Queries	无法并行化的查询	無法並行化的查詢	官方推定	
non-recursive term	非递归项	非遞迴項	MS	
Non-Repeatable Read	不可重复读	不可重複讀	MS	不可重复读→不可重複讀(non-repeatable read)
non-reserved	非保留	非保留	字符	
NULL Values	空值	空值	MS	空值→空值(NULL)
OAuth Token	OAuth 令牌	OAuth 權杖	MS	令牌→權杖(OAuth token = 權杖)
