id	en_pattern	zh_required	zh_forbidden	scope	status	note
P66	\bdatabase cluster\b|\bcluster\b(?! index|ed)	集簇	集群|簇(?!集)	all	decided	pgdoc 规则 121：一个服务实例管理的一组数据库 → 数据库集簇（旧集簇/新集簇）；分布式多节点才是集群
P67	\breplica identity\b	复制标识		all	decided	REPLICA IDENTITY 保留 SQL 原文
P68	\blatch\b	锁存器	闩锁	all	decided	pgdoc 规则 272：锁存器；Latch/WaitLatch 等名称保留
P69	\bhome page\b	主页	首页	all	decided	%s home page: <%s> → %s 主页：<%s>
P70	\bprimary\b(?! key)	主库	主服务器|主节点|主要	all	decided	pgdoc：primary / primary server → 主库；primary key → 主键
P71	\b(?:background|parallel|apply|tablesync|logical replication|autovacuum) workers?\b	工作进程	工作者|工人|工作线程	all	decided	进程类 worker → 工作进程（后台/并行/应用工作进程）；zstd 等压缩 worker 是线程 → 工作线程
P72	\bautovacuum\b	自动清理	自动 VACUUM|自动真空	all	decided	pgdoc：autovacuum 自动清理
P73	\bhint\b	提示		all	decided	HINT 标签译“提示:  ”
P74	\bfailover\b	故障切换	故障转移|失效转移	all	decided	pgdoc：failover 故障切换；switchover 计划内切换
P75	\btokens?\b	词元|令牌	标记|记号	all	decided	SQL 词法 → 词元；OAuth bearer token → 令牌
P76	\bsnapshot\b	快照		all	decided	
P77	\bdeadlock\b	死锁		all	decided	
P78	\bcursor\b	游标		all	decided	
P79	\bsavepoint\b	保存点		all	decided	
P80	\bforeign server\b	外部服务器	外部服务|远程服务器	all	decided	pgdoc
P81	\bforeign table\b	外部表	外表	all	decided	pgdoc
P82	\bforeign[- ]data wrapper\b	外部数据包装器		all	decided	pgdoc；FDW 缩写保留
P83	\buser mapping\b	用户映射		all	decided	pgdoc
P84	\bheap\b	堆		all	decided	pgdoc：heap 堆；heap table 堆表
P85	\bcheckpointer\b	检查点进程		all	decided	pgdoc
P86	\bbackground writer\b	后台写入器		all	decided	pgdoc
P87	\bhot standby\b	热备		all	decided	pgdoc
P88	\blogical decoding\b	逻辑解码		all	decided	pgdoc
P89	\breplication slot\b	复制槽		all	decided	pgdoc
P90	\bcrash recovery\b	崩溃恢复		all	decided	pgdoc
P91	\bstartup process\b	启动进程		all	decided	pgdoc
P92	\btwo-phase commit\b	两阶段提交		all	decided	pgdoc
P93	(?<!full )\bvacuum(?:ing|ed|s)?\b	清理	真空|吸尘	all	decided	pgdoc 规则 597：VACUUM 命令原样保留（大写不参与匹配），说明性 vacuum → 清理；指代命令的 full vacuum 可写 VACUUM FULL
P94	\bmaster\b(?! key)	主库		all	decided	pgdoc 规则 301：仅复制角色；master key → 主密钥
P95	\bsecondary\b(?! index)	备库		all	decided	pgdoc 规则 475：二级索引不是备库索引
