术语ID	英文	原中文	调整后中文	操作类型	适用组件或语境	既有译法及来源	调整原因	影响消息或簇ID	决策状态	处理轮次	版本	证据索引	有效去重译文对数	来源重复口径
T0012	aggregate function	聚合函数	聚合函数	保留并限定语境	一般使用聚合函数；不要未经整体审校把既有正确聚集函数批量改写。	"List of aggregate functions → 聚集函数列表 [TE-ac2d005aa635891b8ef7] | remove an aggregate function → 移除一个聚集函数 [TE-27b9db18d623bfe5b860] | ""%s"" is an aggregate function → ""%s"" 是一个聚合函数 [TE-78dd6404799c0f44762d]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0012; 53 messages / 9 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0012	47	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0013	Analyzer	分析器	分析器	保留并限定语境	分析器限语义分析阶段；与词法/语法 Parser 解析器区分。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0013; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0013	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0014	Anti-Join	反连接	反连接	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0014; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0014	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0015	arbiter indexes	仲裁索引	仲裁索引	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0015; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0015	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0016	archive log	归档日志	归档日志	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0016; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0016	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0017	arithmetic mean	算术平均值	算术平均值	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0017; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0017	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0018	assignment cast	赋值类型转换	赋值类型转换	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0018; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0018	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0019	atomic broadcast	原子广播	原子广播	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0019; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0019	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0020	atomic commit	原子提交	原子提交	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0020; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0020	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0021	atomic increment	原子递增	原子递增	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0021; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0021	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0022	Atomicity	原子性	原子性	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0022; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0022	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0023	authenticated user	已认证用户	已认证用户	保留并限定语境	已认证用户/通过认证的用户；provided user 与 authenticated user 的主客体不得互换。	provided user name (%s) and authenticated user name (%s) do not match → 所提供的用户名(%s)和被认证的用户名(%s) 不匹配 [TE-6f83c3e6ea491ed073bc]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0023; 1 messages / 1 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0023	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0024	automatically updatable	自动可更新	自动可更新	保留并限定语境	视图可自动更新/不能自动更新；按句法处理形容词，不将表头式译法强塞进否定句。	Views containing WITH are not automatically updatable. → 包含 WITH 的视图不能自动更新. [TE-d4bdd5186305a337774d] | Views containing HAVING are not automatically updatable. → 包含 HAVING 的视图列不能自动更新. [TE-e58ecf3da9634c1410b0] | Views containing DISTINCT are not automatically updatable. → 包含DISTINCT的视图列不能自动更新. [TE-02660b9fdc6fb93d41f0]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0024; 14 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0024	13	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0025	autovacuum	自动清理	自动清理	保留并限定语境	普通说明可用自动清理；进程标识、日志固定标签、GUC 名及 autovacuum_* 保留原文。	Autovacuum → Autovacuum [TE-3f5fe0df5af4edbdbb2e] | canceling autovacuum task → 正在取消自动清理任务 [TE-5ccbe1bcb3c4335c6ecf] | autovacuum launcher process → autovacuum启动进程 [TE-5d525935afb729023f8d]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0025; 32 messages / 5 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0025	22	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0026	autovacuum daemon	自动清理守护进程	自动清理守护进程	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0026; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0026	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0027	B-tree	B-树	B-树	保留并限定语境	说明文字可用 B-树；pg_amcheck 既有 B树 作为显示变体保留；代码 btree 和名称不能改写。	\nB-tree index checking options:\n → \nB树索引检查选项:\n [TE-78589758f17c60251876] | Logs system resource usage statistics (memory and CPU) on various B-tree operations. → 基于可变的B-树操作的日志系统资源使用统计 (内存和CPU) . [TE-3d1778d77e32c27d2555]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0027; 2 messages / 2 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0027	2	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0028	back reference	反向引用	反向引用	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0028; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0028	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0029	Backend Process	后端进程	后端进程	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；仅有 fuzzy/废弃线索，不能据此定为稳定译法。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0029; 1 messages / 1 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0029	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0030	background process	后台进程	后台进程	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	could not create background process: %m → 无法创建后台进程: %m [TE-4fe12a4c355eebaf7bad] | could not create pipe for background process: %m → 无法为后台进程: %m创建管道 [TE-0023a9949823e732afec] | waiting for background process to finish streaming ... → 等待后台进程结束流操作... [TE-f21024d30ab607baff25]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0030; 5 messages / 2 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0030	3	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0031	background worker	后台工作进程	后台工作进程	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"background worker ""%s"" → 后台工作进程 ""%s"" [TE-99cdd87b832939542593] | too many background workers → 太多后台工作进程 [TE-7957c8537476c2c5ec5a] | out of background worker slots → 超出后台工作线程槽 [TE-063783546b6c95d2c7e5]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0031; 22 messages / 5 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0031	16	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0032	Background Worker Process	后台工作进程	后台工作进程	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"starting background worker process ""%s"" → 启动后台工作进程""%s"" [TE-364444baaf813b2bb965]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0032; 2 messages / 1 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0032	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0033	background writer	后台写入器	后台写入进程	修改并限定语境	postgres 后台进程及 GUC 说明	background writer process → 后台写入进程 [TE-823bb355daa9c4907bc0] | Resource Usage / Background Writer → 资源使用 / 后台写入进程 [TE-7b4b80218bdefe0e114e] | Background writer sleep time between rounds. → 后台写入进程 (Background writer) 两次运行之间的休眠时间. [TE-d795b3bbdc4cd259b6c1]	后台写入进程是具体服务器进程；现行进程名和相关 GUC 消息保持同一表达，较文档写入器更符合 NLS 既有语境。	target-links.jsonl#T0033; 5 messages / 4 clusters	本批采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0033	5	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0034	backpressure	背压	背压	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0034; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0034	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0035	backup	备份	备份	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	"base backup completed → 基础备份已完成 [TE-bc30566c7e142b6d2be0] | a backup is not in progress → 没有备份在运行中 [TE-47d318bc230f4b6f1c4e] | backup time %s in file ""%s"" → 文件 ""%2$s""中的备份时间%1$s [TE-4a8daf15ece8052b1f67]"	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0035; 95 messages / 21 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0035	59	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0036	backup block	备份块	备份块	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	  -b, --bkp-details      output detailed information about backup blocks\n →   -b, --bkp-details      输出有关备份块的详细信息\n [TE-034479f66b1634087c26]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0036; 4 messages / 4 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0036	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0037	base backup	基础备份	基础备份	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	base backup completed → 基础备份已完成 [TE-bc30566c7e142b6d2be0] | could not initiate base backup: %s → 无法发起基础备份: %s [TE-605f67a37eb64a2f2834] | base backup could not send data, aborting backup → 基础备份无法发送数据，终止备份 [TE-53eaf0864eadb3b08d20]	现行译文检索中可见源中文，原概念释义可用，未发现必须全局替换的依据；检索中文子串不等于词对齐或消息语义批准。	target-links.jsonl#T0037; 9 messages / 4 clusters	保留；有检索先例	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0037	10	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0038	base directory	基础目录	基础目录	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0038; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0038	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0039	base type	基础类型	基础类型	保留并限定语境	基本/基础/基类型按同簇准确既有译法；域的底层类型须保留 base 相对 domain 的含义。	"must be superuser to create a base type → 只有超级用户能创建基类型 [TE-1a2477ef6a8e5b22e8f3] | ""%s"" is not a valid base type for a domain → 对于一个域, ""%s"" 不是一个有效的基本类型 [TE-19def9268aa46d6ffa1a]"	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0039; 3 messages / 1 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0039	2	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0040	Basic Statistics	基础统计信息	基础统计信息	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0040; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0040	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0041	batch	批次	批次	保留并限定语境	批次数量用批次；batch execution 是批量执行，不能机械译为批次执行。	  ON_ERROR_STOP\n    stop batch execution after error\n →   ON_ERROR_STOP\n    发生错误后停止批量执行\n [TE-dfa9d701551e642dd20c]	存在可追溯现行译文对；已检查概念/句法/标识符区别，具体限定见适用语境。两列源释义保留，实际消息优先准确同簇既有表达。	target-links.jsonl#T0041; 1 messages / 1 clusters	本批按语境采用；不是人工批准	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0041	1	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0042	before-images	前映像	前映像	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0042; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0042	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0043	binary coercible	二进制可强制转换	二进制可强制转换	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0043; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0043	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
T0044	binlog coordinates	二进制日志坐标	二进制日志坐标	保留	PostgreSQL 对应技术概念的说明文字；机器标识、命令、参数与字面值按原文保留。	未找到现行非 fuzzy 译文先例；见完整证据索引	全量检索没有现行非 fuzzy 可用译文先例；没有匹配译文。原概念释义可理解，缺乏足够 NLS 证据时保守保留，不作全局替换。	target-links.jsonl#T0044; 0 messages / 0 clusters	保留；NLS 证据不足	第一轮：全量检索、概念及语境评估	nls-v1	term-evidence.jsonl#T0044	0	同英文/context/plural/form/中文合并，保留全部版本/组件位置；不算独立人类佐证
